TIMESTAMP,ECG,MOVEMENT
87678,32968,1.388
87780,32455,0.747
87882,32439,0.763
87984,32583,1.275
88086,32439,1.394
88188,32599,1.461
88290,32519,0.759
88392,32583,0.503
88494,32423,0.569
88596,32487,1.615
88698,32695,1.458
88800,32567,0.964
88902,32535,1.263
89004,32567,1.778
89106,32535,1.364
89208,32519,0.625
89310,32567,0.381
89412,32583,0.679
89514,32567,0.582
89616,32471,1.14
89718,32583,1.284
89820,32631,1.346
89922,32583,1.544
90024,32471,1.685
90127,32327,1.328
90229,32535,0.786
90331,32615,0.705
90433,32567,0.742
90535,32487,0.453
90637,32583,0.788
90739,32519,1.144
90841,32567,1.478
90943,32519,1.051
91045,32519,1.077
91148,32487,1.041
91250,32567,1.865
91352,32503,1.95
91454,32407,0.495
91556,32455,0.271
91658,32407,0.249
91760,32599,0.624
91862,32567,2.414
91964,32551,2.354
92066,32439,0.583
92169,32311,0.182
92271,32583,0.298
92373,32519,0.9
92475,32423,2.41
92577,32647,1.993
92679,32615,0.494
92781,32663,0.159
92883,32551,0.263
92985,32407,1.479
93087,32487,2.533
93190,32487,1.759
93292,32503,0.277
93394,32567,0.218
93496,32567,0.293
93598,32567,1.997
93700,32487,2.413
93802,32695,1.01
93904,32551,0.197
94006,32455,0.111
94108,32535,1.467
94210,32455,2.238
94312,32551,1.354
94414,32551,0.325
94516,32439,0.265
94618,32599,0.608
94720,32551,2.391
94822,32695,1.775
94924,32551,0.355
95026,32439,0.146
95129,32679,0.419
95231,32487,2.004
95333,32439,2.347
95435,32535,0.715
95537,32423,0.11
95639,32647,0.207
95741,32535,1.475
95843,32583,2.501
95945,32407,1.288
96047,32583,0.352
96150,32391,0.201
96252,32663,1.037
96354,32455,2.428
96456,32583,1.313
96558,32615,0.373
96660,32455,0.183
96762,32551,0.753
96864,32583,2.357
96966,32551,1.311
97068,32519,0.627
97171,32695,0.648
97273,32583,0.825
97375,32679,0.815
97477,32471,1.148
97579,32407,1.047
97681,32567,1.155
97783,32487,1.097
97885,32615,1.016
97987,32487,1.086
98089,32551,1.096
98191,32391,1.074
98293,32535,1.071
98395,32551,1.634
98497,32423,1.661
98599,32471,0.387
98701,32647,0.216
98803,32423,0.35
98905,32471,1.991
99007,32615,2.291
99110,32455,0.638
99212,32583,0.164
99314,32551,0.127
99416,32679,1.575
99518,32471,2.408
99620,32487,1.228
99722,32391,0.17
99824,32792,0.184
99926,32455,0.493
100028,32471,1.945
100131,32471,1.918
100233,32631,0.829
100335,32487,0.359
100437,32455,0.478
100539,32471,2.142
100641,32407,2.31
100743,32359,0.473
100845,32471,0.521
100947,32471,0.356
101049,32487,1.486
101152,32391,2.024
101254,32535,0.755
101356,32423,0.37
101458,32487,0.482
101560,32567,2.226
101662,32343,1.784
101764,32551,0.482
101866,32615,0.131
101968,32792,0.339
102070,32311,2.556
102173,32615,1.639
102275,32663,0.616
102377,32519,0.287
102479,32679,1.134
102581,32471,2.219
102683,32551,1.166
102785,32407,0.865
102887,32455,0.511
102989,32551,0.626
103091,32407,1.064
103194,32583,1.389
103296,32519,1.366
103398,32503,0.983
103500,32487,0.817
103602,32471,1.184
103704,32503,1.567
103806,32391,1.025
103908,32487,0.954
104010,32535,0.937
104113,32663,0.767
104215,32583,0.963
104317,32423,1.19
104419,32551,1.07
104521,32439,1.147
104623,32391,1.061
104725,32487,1.026
