timestamp,x_accel,y_accel,z_accel,label
160557,8740,13392,836,0
160609,8860,14128,1192,0
160661,8532,14448,988,0
160712,8440,14628,1112,0
160763,8372,14908,1100,0
160814,7960,14880,828,0
160865,7552,14300,616,0
160917,8516,14704,864,0
160968,8492,14836,52,0
161019,8920,13420,-464,0
161070,8868,12540,-1608,0
161121,9372,13032,-2104,0
161172,9760,12996,-2828,0
161224,9672,12520,-3144,0
161275,8856,12232,-3412,0
161326,8812,11756,-2600,0
161377,9052,12580,-2604,0
161428,9840,13600,-2468,0
161479,10160,14336,-2452,0
161531,12464,14840,-1096,0
161582,9888,10728,-1368,0
161666,12024,10336,-1056,0
161718,12928,11472,-384,0
161769,13204,13140,-448,0
161820,11484,12336,-888,0
161871,10868,10028,-1896,0
161922,11696,10908,-1924,0
161974,11168,12652,-2280,0
162025,10364,12252,-2852,0
162076,10540,11708,-2572,0
162127,9748,11556,-3424,0
162178,9188,12144,-4188,0
162230,9336,12300,-4468,0
162281,9084,12744,-4868,0
162332,10428,14372,-3928,0
162383,10504,12632,-3224,0
162434,10476,11524,-3204,0
162485,10176,10924,-3272,0
162537,9952,11648,-2904,0
162588,10784,12380,-2488,0
162642,12696,13464,-1624,0
162694,11044,12976,-1968,0
162746,9264,11220,-2180,0
162797,9568,10680,-1560,0
162848,9992,11256,-940,0
162899,11128,11592,-256,0
162950,11288,12000,172,0
163001,10216,12660,316,0
163053,9344,12436,160,0
163104,9260,12796,316,0
163155,10252,15224,524,0
163206,9116,13964,516,0
163257,8756,12188,96,0
163308,9704,12652,-140,0
163360,10632,13716,-696,0
163411,11788,14744,-520,0
163462,11120,14244,-1968,0
163513,11476,12608,-1540,0
163564,10228,12160,-2216,0
163616,10256,12204,-1760,0
163667,10404,12248,-1700,0
163718,10420,11872,-1772,0
163770,10296,12080,-1864,0
163821,10504,12288,-1844,0
163872,10308,12412,-2536,0
163923,11348,13988,-1876,0
163974,11316,16204,-2016,0
164026,10136,12136,-2124,0
164077,7736,11048,-2360,0
164128,6348,12264,-2448,0
164179,6672,14504,-2848,0
164230,7800,15008,-3060,0
164281,7448,14504,-3808,0
164333,8188,12972,-3724,0
164384,8064,12548,-3728,0
164435,8752,12340,-3544,0
164486,8940,12044,-3764,0
164537,9264,12428,-3676,0
164588,9092,12816,-3748,0
164643,9516,13028,-3504,0
164694,8568,14412,-3716,0
164746,8368,16072,-3272,0
164797,8784,19288,-1780,0
164849,6104,14772,-2308,0
164900,5416,11700,-2440,0
164951,6716,13160,-1492,0
165002,6904,14928,-876,0
165053,7076,16528,-1304,0
165104,7252,16752,-1608,0
165156,6524,15636,-2136,0
165207,6232,13836,-2008,0
165258,6072,13656,-1592,0
165309,7452,14544,-616,0
165360,8480,14224,-740,0
165412,8664,13320,-1016,0
165463,9560,12752,-1060,0
165514,9736,12944,-1060,0
165565,9544,13756,-1556,0
165616,11040,18048,-484,0
165667,8572,15132,-1744,0
165719,8256,10984,-3272,0
165770,6664,13128,-3004,0
165821,6332,15996,-2552,0
165872,6816,14444,-2124,0
165924,5340,14808,-2860,0
165975,5492,15840,-2936,0
166026,5388,15268,-3240,0
166077,6636,14952,-2760,0
166128,6116,14656,-3212,0
166180,7308,13604,-2304,0
166231,7756,13068,-2348,0
166281,8896,12332,-1728,0
166332,10608,11580,-720,0
166383,12636,11696,672,0
166434,12048,13268,-608,0
166486,10260,10620,-1520,0
166537,10256,11008,-1184,0
166588,12056,13148,-356,0
166639,11180,12712,-1168,0
166693,11556,12704,-952,0
166745,10560,12548,-1288,0
166796,11676,12708,-876,0
166847,10972,11688,-1136,0
166899,10880,11328,-1688,0
166950,11664,11508,-1136,0
167000,11944,12404,-756,0
167051,10704,12540,-1816,0
167102,10964,11940,-1608,0
167153,10656,11920,-2344,0
167205,11016,11604,-2256,0
167256,11372,11160,-2948,0
167307,11616,11896,-2696,0
167358,11844,11644,-3248,0
167409,13060,13408,-2328,0
167461,11768,12708,-2636,0
