Timestamp(ms),Raw_ECG,Threshold
1,30855,48000
12,30999,48000
22,30919,48000
32,31159,48000
42,31463,48000
52,31111,48000
62,32007,48000
72,32519,48000
82,33480,48000
92,34888,48000
102,34568,48000
112,33608,48000
122,32663,48000
132,30887,48000
142,30775,48000
152,31207,48000
162,30695,48000
172,31143,48000
182,31303,48000
192,31159,48000
202,31175,48000
212,31799,48000
222,37449,48000
232,50716,48000
242,46811,48000
252,15043,48000
262,27830,48000
272,34600,48000
282,32872,48000
292,33224,48000
302,33816,48000
341,34472,48000
352,34760,48000
362,35352,48000
372,35880,48000
382,36360,48000
392,37465,48000
402,37849,48000
412,39097,48000
422,40585,48000
432,41258,48000
442,42186,48000
452,43162,48000
462,42714,48000
472,41194,48000
482,37689,48000
492,33432,48000
502,31351,48000
512,29495,48000
522,29095,48000
532,29159,48000
542,28630,48000
552,28807,48000
562,28614,48000
572,29143,48000
582,28871,48000
592,29031,48000
602,29223,48000
612,29671,48000
622,30135,48000
632,30775,48000
642,30791,48000
652,30951,48000
665,30439,48000
676,31239,48000
686,30999,48000
696,31303,48000
706,31623,48000
716,31799,48000
726,30983,48000
736,31655,48000
746,31287,48000
756,31703,48000
766,31319,48000
776,31927,48000
786,31719,48000
796,31207,48000
806,31767,48000
816,32856,48000
826,31655,48000
836,31687,48000
846,32503,48000
856,31943,48000
866,32343,48000
876,32711,48000
886,33128,48000
896,34200,48000
906,34856,48000
916,35480,48000
926,35144,48000
936,33160,48000
946,33352,48000
956,32215,48000
966,32519,48000
976,32439,48000
986,32391,48000
996,32295,48000
1006,32471,48000
1016,32840,48000
1026,32471,48000
1036,34584,48000
1046,47323,48000
1056,55405,48000
1066,23765,48000
1076,22949,48000
1086,35032,48000
1096,34312,48000
1106,34376,48000
1116,34344,48000
1126,34904,48000
1136,35512,48000
1146,35624,48000
1156,36056,48000
1166,36312,48000
1176,36664,48000
1186,37097,48000
1196,37945,48000
1206,38409,48000
1216,39481,48000
1226,40425,48000
1236,41706,48000
1246,42650,48000
1256,43514,48000
1266,44298,48000
1276,44730,48000
1289,43402,48000
1300,40457,48000
1310,36584,48000
1320,33512,48000
1330,31495,48000
1340,31383,48000
1350,30551,48000
1360,30535,48000
1370,30007,48000
1380,30391,48000
1390,30215,48000
1400,30855,48000
1410,30983,48000
1420,31271,48000
1430,31239,48000
1440,31783,48000
1450,31767,48000
1460,31783,48000
1470,31847,48000
1480,32135,48000
1490,32279,48000
1500,32519,48000
1510,32375,48000
1520,32808,48000
1530,32471,48000
1540,32711,48000
1550,32663,48000
1560,32519,48000
1570,32391,48000
1580,32936,48000
1590,33448,48000
1600,34008,48000
1610,35352,48000
1620,35640,48000
1630,35016,48000
1640,34152,48000
1650,32391,48000
1660,31783,48000
1670,32199,48000
1680,31879,48000
1690,31831,48000
1700,32215,48000
1710,32151,48000
1720,32487,48000
1730,31719,48000
1740,33896,48000
1750,47067,48000
1760,53965,48000
1770,20436,48000
1780,22165,48000
1790,33096,48000
1800,34216,48000
1810,33928,48000
1820,33912,48000
1830,33864,48000
1840,34264,48000
1850,34184,48000
1860,34888,48000
1870,35048,48000
1880,35432,48000
1890,36873,48000
1903,35544,48000
1914,38313,48000
1924,38553,48000
1934,38041,48000
1944,39529,48000
1954,41482,48000
1964,41770,48000
1974,42218,48000
1984,42426,48000
1994,40986,48000
2004,39129,48000
2014,31687,48000
2024,30087,48000
2034,28198,48000
2044,28182,48000
2054,27798,48000
2064,27558,48000
2074,28326,48000
2084,27878,48000
2094,27014,48000
2104,29095,48000
2114,27926,48000
2124,27606,48000
2134,28646,48000
2144,28983,48000
2154,29063,48000
2164,29271,48000
2174,29319,48000
2184,29415,48000
2194,30055,48000
2204,29879,48000
2214,29671,48000
2224,29751,48000
2234,29767,48000
2244,30007,48000
2254,30567,48000
2264,31223,48000
