Timestamp_ms,Raw_ECG
1,37673
12,37977
22,40121
33,40489
43,41178
54,40986
64,41050
74,40970
84,39897
94,37481
105,34360
115,32407
125,30791
135,30583
145,30743
155,30743
166,31271
176,31911
187,31239
197,31879
207,32135
218,32583
228,33512
239,34776
249,35000
260,33176
270,31927
280,30743
291,30199
301,30439
312,30231
322,31175
332,30407
343,30823
353,39529
364,53036
374,33224
384,12323
395,30279
405,32391
416,32920
426,33896
436,33816
447,34184
457,34968
468,35608
478,36424
488,37465
499,39065
509,41338
520,41162
559,41994
570,40841
580,38953
591,34456
601,31991
611,31447
622,30951
632,31127
643,31991
653,31575
664,31847
674,31479
685,33096
695,33832
706,35416
716,34392
726,34024
737,32327
747,30935
758,30151
768,29607
778,30087
789,29255
799,30359
810,30407
820,33416
830,49884
841,49548
851,9490
862,24053
872,32631
882,30599
892,31511
903,31959
913,31927
924,33880
934,32808
944,35080
955,34344
965,36616
976,37449
986,39017
997,40057
1007,39369
1018,38937
1028,38921
1038,38681
1049,35784
1059,32199
1070,30119
1083,28358
1093,28614
1104,28679
1114,28871
1125,28102
1135,29415
1145,29735
1156,30487
1166,32007
1177,32215
1187,32727
1197,32311
1207,30167
1218,27990
1228,28582
1239,27718
1249,28759
1260,28679
1270,28006
1280,29223
1291,34520
1301,49452
1312,46171
1322,7825
1332,25558
1343,31239
1353,30231
1364,31255
1374,32135
1384,32343
1395,31895
1405,34056
1416,33944
1426,35064
1437,36921
1447,38249
1457,38089
1468,40841
1478,39657
1489,39689
1499,39817
1509,39049
1520,35656
1530,33448
1541,30151
1551,29799
1561,29735
1572,29127
1582,30007
1593,29911
1603,31335
1613,29399
1624,30567
1634,30727
1645,30519
1655,31591
1665,32776
1676,32679
1686,34024
1697,31895
1707,29895
1717,28903
1728,28662
1738,28775
1749,29207
1759,29895
1769,29463
1780,31015
1790,44426
1801,52748
1811,16275
1821,17252
1832,31927
1842,31159
1853,31319
1863,33032
1873,31831
1884,33352
1894,34264
1905,34472
1915,35160
1925,36744
1935,36792
1945,38873
1955,39849
1966,39769
1976,40329
1987,39929
1997,40489
2007,38569
2018,35720
2028,32295
2038,30231
2052,30663
2062,29351
2073,30039
2083,30055
2094,30439
2104,29447
2115,30823
2125,30103
2135,29751
2145,30215
2156,30599
2166,31751
2177,32007
2187,32968
2198,33768
2208,31799
2218,29591
2229,29239
2239,28662
2250,29527
2260,29063
2271,29591
2281,29927
2291,31191
2302,41882
2312,51932
2323,16916
2333,15971
2343,32391
2354,31399
2364,32279
2375,32023
2385,33112
2395,33912
2406,33608
2416,35432
2427,35688
2437,36168
2447,38553
2457,39145
2468,39593
2478,40601
2489,40265
2499,40345
2509,40745
2519,39081
2529,37065
2540,32952
2550,30439
2561,29959
2571,29639
2582,30279
2592,30167
2602,30935
2613,30135
2623,30311
2634,29767
2644,30391
2654,30439
2664,31159
2675,31799
2685,33288
2696,33608
2706,32695
2717,31687
2727,28951
2737,30183
2748,28230
2758,29671
2769,29271
2779,29911
2789,29463
2800,34344
2810,49884
2821,41322
2831,9314
2841,27654
2852,31463
2862,32359
2873,32920
2883,33032
2893,33320
2904,34392
2914,34488
2925,35928
2935,36921
2945,37625
2956,39225
2966,40457
2977,40745
2987,40297
2998,40425
3008,40937
3018,40697
3032,37225
3042,34760
3053,31335
3064,30631
3074,31351
3085,29943
3095,31111
3106,31063
3116,31015
3126,30951
3137,31271
3147,30551
3158,31175
3168,31287
3178,31367
3189,32327
3199,34360
3210,34184
3220,33192
3230,30119
3241,29447
3251,29911
3262,29639
3272,28887
3282,30423
3292,29655
3303,30647
3313,40841
3324,50604
3334,21669
3345,15683
3355,31575
3365,32519
3376,31975
3386,32487
3397,34184
3407,33928
3418,35032
3428,35048
3438,36856
3449,36792
3459,38057
3470,39721
3480,40617
3490,41194
3501,41306
3511,41034
3522,40953
3532,40025
3542,36856
3553,33512
3563,31671
3574,31191
3584,30663
3594,30855
3605,30247
3615,30599
3626,31015
3636,31431
3646,30295
3657,31079
3667,30871
3678,31159
3688,32423
3698,33736
3709,34888
3719,32679
3730,30375
3740,30087
3750,29623
3761,29271
3771,29591
3782,30055
3792,30823
3802,29447
3813,36184
3823,49724
3834,35688
3844,10658
3854,29159
3865,32055
3875,32023
3886,32647
3896,33512
3906,34328
3917,33896
3927,35224
3938,35528
3948,36889
3958,38057
3969,39273
3979,40793
3990,41018
4030,40953
4040,38169
4051,34760
4061,31623
4072,31191
4082,30903
4092,30263
4103,30647
4113,31063
4124,30487
4134,30791
4144,30791
4154,30983
4164,30279
4174,30871
4185,31175
4195,31239
4206,31959
4216,34136
4226,34632
4237,33352
4247,30887
4258,30167
4268,29255
4279,29639
4289,29623
4299,29767
4310,30471
4320,30535
4331,36696
4341,49980
4351,33720
4362,11346
4372,29271
4383,32808
4393,32455
4403,32984
4414,33416
4424,34152
4435,34952
4445,34856
4455,35736
4466,36808
4476,38425
4487,39209
4497,40265
4507,41002
4518,41658
4528,40745
4539,41802
4549,41226
4559,38633
4570,34968
4580,32695
4591,31431
4601,31831
4611,30951
4622,30791
4632,31031
4643,30951
4653,30887
4663,30551
4673,31159
4683,30967
4693,31175
4704,30599
4714,31671
4725,32808
4735,33816
4745,33320
4756,32055
4766,29879
4777,29895
4787,29831
4798,29703
4808,29799
4818,30023
4829,30087
4839,32503
4850,45547
4860,45323
4870,11426
4880,25302
4891,32055
4901,31767
4912,32391
4922,33448
4932,33384
4942,33768
4952,35496
4963,34920
4973,36232
4986,37865
4997,38601
5008,39641
5018,40713
5028,41130
5039,41290
5049,41434
5060,41626
5070,39721
5080,35368
5091,32519
5101,31143
5111,30311
5122,30535
5132,30519
5143,30247
5153,30167
5163,30375
5173,29735
5183,30167
5194,30135
5204,30775
5215,32023
5225,32599
5235,33384
5246,33176
5256,31479
5267,29127
5277,29447
5287,29783
5298,29575
5308,30039
5319,30423
5329,30375
5339,31511
5350,45467
5360,45355
5371,10882
5381,25766
5391,32247
5402,33000
5412,32840
5423,33720
5433,33640
5443,34600
5454,35352
5464,36760
5475,37145
5485,38249
5495,40105
5506,40553
5516,41578
5527,41818
5537,42250
5547,42890
5558,43242
5568,40425
5579,36744
5589,33368
5599,31911
5610,31639
5620,31527
5631,31383
5641,31415
5651,31431
5662,31191
5672,31255
5683,31063
5693,32087
5703,32808
5714,33896
5724,34952
5735,33128
5745,32311
5755,29383
5766,29319
5776,29799
5787,29879
5797,29895
5807,30471
5818,29415
5828,34136
5839,48491
5849,37897
5859,9394
5870,28118
5880,31527
5891,31927
5901,32359
5911,32711
5922,33416
5932,33848
5943,34200
5953,35432
5966,36520
5977,37673
5987,38297
5997,39881
6008,40185
6018,40457
6029,40745
6039,40745
6050,39609
6060,36248
6070,32984
6081,29959
6091,29159
6102,28823
6112,29143
6122,29095
6133,29031
6143,29255
6154,29575
6164,29415
6174,30071
6185,30791
6195,32183
6206,32391
6216,30679
6226,29639
6237,27766
6247,27446
6258,27542
6268,27158
6278,27910
6289,27798
6299,28422
6310,35640
6320,49804
6330,32135
6340,7969
6351,26758
6361,29447
6372,29447
6382,30439
6392,30871
6403,32487
6413,30983
6424,33416
6434,33576
6445,33864
6455,35720
6466,37193
6476,38441
6486,39641
6497,40201
6507,39417
6518,39961
6528,37913
6538,34520
6548,32055
6558,29863
6568,28582
6579,28903
6589,28262
6600,28903
6610,28230
6620,29783
6631,29239
6641,30263
6652,31271
6662,32263
6673,34008
6683,32135
6693,30375
6704,29895
6714,28711
6725,28470
6735,28983
6745,28614
6756,29703
6766,29431
6777,32023
6787,45739
6797,52300
6808,14883
6818,18772
6829,32311
6839,31639
6849,33048
6860,32856
6870,33256
6880,34312
6891,34728
6901,35144
6912,36216
6922,38201
6935,39449
6946,40953
6956,41882
6967,42666
6977,41610
6987,41706
6998,40281
7008,37577
7019,34472
7029,32311
7039,31511
7050,30135
7060,30679
7071,31303
7081,30679
7092,31559
7102,31447
7112,33000
7123,33560
7133,34440
7144,35288
7154,33832
7164,32311
7174,30983
7185,30407
7195,30119
7206,29799
7216,30727
7227,30151
7237,31239
7247,34232
7258,51020
7268,52940
7279,10754
7289,23205
7299,33000
7310,32663
7320,32631
7331,33816
7341,33896
7351,34248
7362,34696
7372,36248
7383,36440
7393,38377
7404,39289
7414,40777
7424,42250
7435,41930
7445,41530
7456,41658
7466,40393
7476,37833
7487,34328
7497,32199
7508,31415
7518,29783
7528,29831
7539,30663
7549,30743
7560,31047
7570,31831
7580,30343
7591,31655
7601,32583
7612,34072
7622,34056
7632,33112
7643,32711
7653,30791
7664,29511
7674,29287
7684,29495
7695,29239
7705,29767
7716,29783
7726,31223
7736,43802
7747,54349
7757,16900
7768,17380
7778,31623
7788,31207
7799,30839
7809,32151
7820,31735
7830,32920
7840,33784
7851,33592
7861,35256
7872,36040
7882,37273
7892,38841
7933,40265
7944,38729
7955,37657
7965,34968
7975,30983
7986,30135
7996,29063
8007,29031
8017,29543
8027,30039
8038,28743
8048,30039
8058,30295
8069,29879
8079,28983
8090,30823
8100,30151
8111,30327
8121,32952
8131,32311
8142,32952
8152,30279
8163,28662
8173,28679
8183,27990
8194,28550
8204,27974
8215,28438
8225,30007
8235,31895
8246,47947
8256,43498
8267,8914
8277,24790
8287,31159
8298,31223
8308,31383
8319,32199
8329,32583
8339,32872
8350,33416
8360,34824
8371,34680
8381,37417
8391,36873
8402,40217
8412,39417
8423,40905
8433,39769
8443,41034
8453,39385
8464,36921
8474,33992
8485,32583
8495,29719
8505,30519
8516,30519
8526,30087
8537,30167
8547,31623
8558,31687
8568,31671
8579,30343
8589,32103
8599,32663
8610,33288
8620,34136
8631,33608
8641,33960
8651,30535
8662,29751
8672,30103
8683,30327
8693,30343
8703,30519
8714,30055
8724,31031
8735,38889
8745,51884
8755,22469
8766,15763
8776,31655
8787,31415
8797,32519
8807,32792
8818,33688
8828,33096
8839,35240
8849,34392
8859,36440
8870,35592
8880,38809
8893,39993
8904,40441
8915,41226
8925,40953
8936,40505
8946,39897
8957,38601
8967,34024
8978,31063
8988,30935
8999,29719
9009,30631
9019,30727
9030,30663
9040,32727
9051,31207
9061,30983
9071,32103
9082,31479
9092,32583
9103,34440
9113,34888
9123,33928
9134,31943
9144,30295
9155,29991
9165,30263
9175,31239
9186,29511
9196,29511
9207,30391
9217,32519
9227,42298
9238,48955
9248,13859
9259,21733
9269,32151
9279,32519
9290,32824
9300,33320
9311,33416
9321,34744
9331,34312
9342,36312
9352,36264
9363,36680
9373,38425
9383,40217
9394,40649
9404,42010
9415,41850
9425,41386
9435,40233
9446,37737
9456,35320
9467,33112
9477,30759
9487,31319
9498,30647
9508,30743
9519,30663
9529,31687
9539,31479
9550,31127
9560,31671
9571,31319
9581,31543
9591,31239
9602,32519
9612,31239
9623,33416
9633,34456
9643,34232
9654,32535
9664,30263
9675,29543
9685,30999
9695,28951
9706,30775
9716,30455
9727,31127
9737,32583
9747,44746
9758,48555
9768,11474
9779,22565
9789,31287
9799,33176
9810,33416
9820,33416
9831,32663
9841,34440
9851,35384
9865,34872
9875,36760
9886,37433
9897,39593
9907,40553
9918,41002
9928,40921
9939,40633
9949,40953
9959,39961
9970,37001
9980,34840
9991,31159
10001,31239
10011,29895
10022,30407
10032,30647
10043,30871
10053,30631
10063,31911
10074,30615
10084,32023
10095,32039
10105,30551
10115,30791
10126,30951
10136,31175
10147,31111
10157,31175
10167,32183
10178,32647
10188,34408
10199,34328
10209,34472
10219,32647
10230,30039
10240,31079
10251,30807
10261,30215
10271,31111
10282,30951
10292,31047
10303,36616
10313,50860
10323,42250
10334,10242
10344,28198
10355,33208
10365,33368
10375,33576
10386,34088
10396,35272
10407,34200
10417,35608
10427,36296
10438,37161
10448,37417
10459,39977
10469,41194
10479,41418
10490,41178
10500,41418
10511,40185
10521,41130
10531,38105
10542,35288
10552,33144
10563,31511
10573,30423
10583,29959
10593,31143
10603,30855
10614,31159
10624,32327
10634,31239
10644,32311
10655,31591
10665,31687
10676,31751
10686,30759
10696,30871
10707,30887
10717,31255
10728,30759
10738,31127
10749,32215
10759,32439
10772,34104
10783,34328
10794,33464
10804,30999
10814,30263
10825,30311
10836,30727
10846,30743
10857,30919
10867,30823
10878,32567
10888,44746
10898,51356
10909,15539
10919,20372
10930,33720
10940,32263
10950,32215
10961,33320
10971,33496
10982,34120
10992,35288
11002,35288
11013,36408
11023,36969
11034,37849
11044,39657
11054,40665
11065,40953
11075,41626
11086,40281
11096,40409
11106,39753
11117,36200
11127,33512
11138,32039
11148,30951
11158,30151
11168,30535
11179,30007
11189,30519
11200,31255
11210,31559
11221,32359
11231,30935
11241,31415
11252,30599
11262,31511
11272,31111
11282,30759
11292,31319
11303,30871
11313,30407
11324,31927
11334,32471
11344,33992
11355,34536
11365,34280
11376,32551
11386,30391
11397,30871
11407,29975
11417,30407
11428,31047
11438,31079
11449,29847
11459,34792
11469,48603
11480,46091
11490,11010
11501,26790
11511,32471
11521,32215
11532,32183
11542,33560
11553,33496
11563,34200
11573,34056
11584,35256
11594,36104
11605,36648
11615,38729
11625,39561
11636,40137
11646,40953
11692,37305
11703,34648
11713,31975
11724,30359
11734,29607
11745,29671
11755,29943
11766,30567
11776,30087
11786,31943
11797,30407
11807,30519
11817,31495
11827,30503
11837,30519
11847,30359
11858,31127
11868,31367
11879,32071
11889,33752
11899,33592
11910,32615
11920,31719
11931,28759
11941,30135
11952,29367
11962,29383
11972,30503
11983,29879
11993,29655
12004,36937
12014,48987
12024,36696
12035,11090
12045,28070
12056,31527
12066,32055
12076,33176
12087,33336
12097,33064
12108,34280
12118,34072
12128,35496
12138,36616
12149,37513
12159,39337
12170,39945
12180,40953
12190,41354
12200,41434
12210,41354
12221,42122
12231,38857
12242,35304
12252,31831
12263,30647
12273,29335
12283,30199
12294,29575
12304,30359
12315,30615
12325,31175
12335,29383
12346,31127
12356,29991
12367,30519
12377,29591
12387,31111
12398,31927
12408,32856
12419,32968
12429,32824
12439,32663
12449,29751
12460,29527
12470,29895
12481,29207
12491,29735
12501,30599
12511,30519
12521,29783
12532,39593
12542,51676
12553,22661
12563,16676
12576,32231
12587,30967
12598,32295
12608,32279
12619,33432
12629,34600
12640,33864
12650,36024
12661,35720
12671,37705
12682,38489
12692,39865
12702,41562
12713,41674
12723,42522
12734,42138
12744,42730
12754,38697
12764,36680
12775,32984
12785,30247
12796,29719
12806,30119
12816,29943
12827,29863
12837,30215
12848,31319
12858,29735
12869,30487
12879,30583
12889,30407
12900,31703
12910,32183
12921,33688
12931,34312
12941,32551
12952,30967
12962,29191
12973,30183
12983,29927
12994,29847
13004,29319
13014,31079
13025,29495
13035,33928
13046,48875
13056,43066
13066,10914
13077,25990
13087,32087
13098,33000
13108,32279
13118,32391
13129,33320
13139,34008
13150,34840
13160,35016
13170,37081
13181,36856
13191,38617
13202,40217
13212,41482
13222,42058
13233,41626
13243,42058
13254,41994
13264,37689
13274,35208
13285,33160
13295,29527
13306,29159
13316,29735
13326,29575
13337,30119
13347,30215
13358,31335
13368,29895
13378,30199
13389,31527
13399,31767
13409,33176
13420,33192
13430,33624
13441,31815
13451,28246
13461,28679
13475,29415
13485,28999
13496,29687
13506,29687
13517,30247
13527,35608
13538,48907
13548,35304
13558,9986
13569,27798
13579,31063
13589,32167
13599,31671
13610,31623
13620,32519
13631,32920
13641,33848
13652,34392
13662,36024
13672,37705
13683,38121
13693,40025
13704,40409
13714,41290
13725,41578
13735,41194
13745,40361
13756,38121
13766,32263
13777,31111
13787,29639
13797,28518
13808,29111
13818,30023
13829,30647
13839,29159
13849,29927
13860,30119
13870,31287
13881,32199
13891,32679
13901,33448
13912,31495
13922,29991
13933,28823
13943,28246
13953,27670
13964,28727
13974,28759
13985,28743
13995,29127
14005,37977
14016,50780
14026,26806
14037,11202
14047,28182
14057,30727
14068,30263
14078,30871
14089,30999
14099,31111
14109,32776
14120,33000
14130,33704
14141,34776
14151,36680
14161,38473
14172,38393
14182,40233
14193,39753
14203,39721
14213,38857
14224,37945
14234,34296
14245,32327
14255,28486
14265,29511
14276,26646
14286,27174
14297,28823
14307,28903
14317,28326
14328,30727
14338,30599
14348,31799
14361,31783
14371,32231
14382,30311
14392,29015
14403,27910
14414,29015
14424,27478
14435,27798
14445,27334
14455,28422
14466,29959
14476,41802
14487,50668
14497,18052
14508,15139
14518,30167
14528,29799
14539,29319
14549,31095
14560,31495
14570,32327
14580,32471
14591,34472
14601,34520
14612,34968
14622,35848
14632,38425
14643,39273
14653,40970
14664,40505
14674,41578
14684,39721
14695,36969
14705,34200
14716,31015
14726,29639
14736,28518
14747,29223
14757,29495
14768,30119
14778,30855
14788,30439
14799,32567
14809,32920
14820,33128
14830,34104
14840,32663
14851,31927
14861,30743
14872,29975
14882,30039
14892,28935
14903,29671
14913,30167
14924,29687
14934,34792
14944,50156
14955,49067
14965,10082
14975,26278
14986,32023
14996,31207
15007,33064
15017,32968
15027,33416
15037,34280
15047,34408
15058,35224
15068,36456
15079,37529
15089,39529
15099,40793
15110,41946
15120,42362
15131,42634
15141,42506
15151,41322
15162,38873
15172,34680
15183,32439
15193,31719
15203,30935
15214,30631
15224,30951
15235,31447
15281,33288
15291,34200
15302,35224
15312,34904
15323,33496
15333,32407
15344,31063
15354,29911
15364,31383
15375,29607
15385,31095
15395,30759
15406,30119
15416,36921
15426,51740
15437,44234
15447,10002
15458,27814
15468,33048
15478,31383
15489,32695
15499,32311
15510,33496
15520,34008
15530,35112
15541,36504
15551,36296
15562,37657
15572,38553
15583,40281
15593,41402
15603,41178
15614,41402
15624,42474
15635,39609
15645,36248
15655,33256
15666,31143
15676,30023
15687,29463
15697,29143
15707,30647
15718,31031
15728,30407
15739,31111
15749,30503
15759,31687
15770,31143
15780,31751
15791,33736
15801,33928
15811,33864
15822,32327
15832,30775
15843,30551
15853,28614
15863,29271
15874,30775
15884,29879
15895,28759
15905,30807
15915,36664
15926,50028
15936,40681
15947,9474
15957,26806
15967,31895
15978,31751
15988,32247
15999,32183
16009,32808
16019,33496
16030,35048
16040,33768
16051,36312
16061,36760
16071,38297
16082,39145
16092,41274
16103,41690
16113,40953
16123,39897
16134,39433
16144,36152
16155,34088
16168,30103
16179,31095
16189,29559
16200,28486
16210,29847
16221,30743
16231,29975
16242,31543
16252,32183
16263,31703
16273,32968
16283,34024
16294,34392
16304,33224
16315,32231
16325,31559
16335,29303
16345,29655
16356,29959
16366,29799
16377,30391
16387,29575
16398,31847
16408,44122
16418,50668
16429,18836
16439,17620
16450,30727
16460,32103
16471,33112
16481,31143
16491,33112
16502,33896
16512,33496
16523,34120
16533,35880
16543,36552
16553,39017
16564,38697
16574,40953
16585,40953
16595,40986
16605,40873
16615,40553
16625,39561
16636,34504
