Timestamp_ms,Raw_ECG
0,29319
11,29751
21,31207
32,30951
42,30999
53,30615
63,32167
73,32311
84,33464
94,33816
105,32087
115,31063
125,29991
135,30887
146,29607
156,29927
167,30231
177,30855
187,31111
197,30727
207,32295
218,42586
228,54429
239,24614
249,18948
260,33576
270,33144
280,31159
291,32984
301,33224
312,33512
322,33960
332,34104
343,34520
353,34712
364,35864
374,36232
384,36584
395,37449
405,38457
416,39721
426,42906
436,40793
447,39577
457,42042
468,40489
478,37577
488,34056
499,31879
509,32519
520,27942
566,29863
577,29607
587,31831
598,28759
608,28775
618,29639
629,30279
639,31063
650,32199
660,37033
671,31047
681,32439
692,30391
702,31063
712,29591
723,29351
733,29031
744,29271
754,29975
765,30663
775,30599
785,29239
796,32311
806,40873
816,53020
827,28342
837,15891
848,32567
858,33224
868,32776
879,34056
889,33816
900,34152
910,33752
921,33128
931,34696
941,34856
952,36744
962,37033
973,37401
983,37033
993,37641
1004,39577
1014,40681
1025,41706
1035,42922
1045,41818
1056,41162
1066,38681
1077,35080
1090,31799
1100,30551
1111,28406
1121,28919
1132,28743
1142,29367
1152,29607
1163,30535
1173,30263
1184,30919
1194,30503
1204,31223
1215,31127
1225,32215
1236,31879
1246,33384
1256,33560
1267,32888
1277,31383
1288,30423
1298,30487
1308,29703
1319,29719
1329,30551
1340,30727
1350,30391
1360,31175
1371,30935
1381,38729
1392,52412
1402,38457
1412,14131
1423,31495
1433,33960
1444,33064
1454,32535
1464,34472
1475,33224
1485,33656
1496,34632
1506,33848
1516,34568
1527,36088
1537,36248
1548,36328
1558,38041
1568,38185
1579,40089
1589,40809
1600,40841
1610,42346
1620,42954
1631,40473
1641,38505
1652,34584
1662,31671
1672,30375
1683,29879
1693,29335
1704,28807
1714,28839
1724,29063
1735,29863
1745,31015
1756,30647
1766,30455
1776,31207
1787,30279
1797,31303
1808,31863
1818,30999
1828,32023
1839,33128
1849,33896
1860,34264
1870,32856
1880,31959
1891,30567
1901,30471
1912,29847
1922,29959
1932,30695
1943,30935
1953,30951
1964,31319
1974,32840
1984,43594
1995,54461
2005,21045
2016,21941
2026,33800
2036,32423
2047,33224
2060,33320
2071,34152
2081,34072
2092,33800
2102,34008
2112,35128
2123,35496
2134,36312
2144,36856
2155,37545
2165,38665
2176,39289
2186,40809
2196,40953
2207,41642
2217,42218
2228,42266
2238,40041
2248,35928
2259,33032
2269,30391
2280,29351
2290,29143
2300,28871
2311,29831
2321,29159
2332,29719
2342,30119
2352,29831
2363,30935
2373,30359
2384,30215
2394,31031
2404,30679
2415,31111
2425,32279
2436,33288
2446,33112
2456,33448
2467,31431
2477,30743
2487,29447
2498,29383
2508,29175
2519,29895
2529,29319
2539,29799
2549,30599
2559,29399
2570,37193
2580,52844
2591,37081
2601,12931
2611,30439
2622,33032
2632,31927
2643,32071
2653,32663
2663,32503
2673,32663
2684,33800
2694,33512
2705,33592
2715,34504
2725,34904
2735,35992
2745,36488
2756,38121
2766,37897
2777,39001
2787,40233
2798,40489
2808,40329
2818,40745
2829,37193
2839,33768
2850,31735
2860,28967
2870,28566
2881,27958
2891,28086
2902,28134
2912,28294
2922,28727
2933,28695
2943,29319
2954,29015
2964,29783
2974,29575
2985,30663
2995,30903
3006,31319
3016,32840
3029,33240
3040,31767
3050,31783
3061,28951
3072,28438
3082,29671
3093,29143
3103,29959
3113,29511
3123,29671
3133,30135
3144,29831
3154,38921
3165,52060
3175,31223
3185,14259
3196,32183
3206,32439
3217,31943
3227,32263
3237,33080
3248,32936
3258,32984
3269,33432
3279,34136
3289,34888
3300,34520
3310,35528
3321,36856
3331,36824
3341,38345
3352,39177
3362,39977
3373,40073
3383,40970
3393,41866
3404,40953
3414,37065
3425,33160
3435,31367
3445,29671
3456,28871
3466,28646
3477,28022
3487,29527
3497,28919
3508,28630
3518,29639
3529,30151
3539,29639
3549,30103
3560,30423
3570,31079
3581,30407
3591,33080
3601,30791
3612,32407
3622,33304
3632,33000
3643,31303
3653,29927
3664,30775
3674,29591
3684,29399
3694,30151
3704,30311
3715,29655
3725,30391
3735,31783
3746,40777
3756,53261
3767,27014
3777,17348
3787,33368
3798,33256
3808,33096
3819,33000
3829,33880
3839,33256
3850,33592
3860,34200
3871,34952
3881,35432
3891,35688
3902,36008
3912,37225
3923,37433
3933,37977
3944,40281
3954,40633
3964,40633
3975,41690
3985,41882
4025,32055
4036,30343
4046,29751
4057,28807
4067,29383
4078,29511
4088,29223
4098,29703
4109,29911
4119,30119
4130,30967
4140,31191
4150,30599
4161,32103
4171,30103
4182,30295
4192,31207
4202,32215
4213,32679
4223,33768
4234,34040
4244,32952
4254,32103
4265,29111
4275,29671
4285,30039
4295,30183
4305,30871
4316,30631
4326,31111
4337,30023
4347,33784
4357,45067
4368,50460
4378,15939
4389,24646
4399,33704
4409,33416
4420,32872
4430,33544
4441,33608
4451,33816
4461,34472
4472,34472
4482,34632
4493,35848
4503,36360
4513,36312
4524,37225
4534,37993
4545,39065
4555,40169
4565,41018
4576,42170
4586,41418
4597,42138
4607,40745
4617,36856
4628,33112
4638,31191
4649,29479
4659,29863
4669,28983
4680,29031
4690,29511
4701,30423
4711,29863
4721,30295
4732,29959
4742,30807
4753,30695
4763,30823
4773,31431
4784,31127
4794,30999
4805,31127
4815,30855
4825,31975
4836,32439
4846,34088
4857,33880
4867,34040
4877,32087
4888,30167
4898,30119
4909,30439
4919,30119
4929,30119
4940,30375
4950,31783
4961,31447
4971,32695
4981,43066
4994,49628
5004,14643
5015,26470
5025,34168
5036,33048
5046,33208
5057,34184
5067,33672
5078,34328
5088,34520
5099,35176
5109,35560
5120,35752
5130,35800
5140,36488
5151,36969
5161,38281
5172,39497
5182,40777
5192,40425
5202,41498
5213,42186
5223,41834
5234,40649
5244,36248
5255,34312
5265,30775
5275,30343
5286,29095
5296,28919
5307,29479
5317,29191
5328,29831
5338,30471
5348,30263
5359,30791
5369,30167
5380,30359
5390,30935
5400,30551
5411,30663
5421,30679
5432,31271
5442,31047
5452,31767
5463,32824
5473,33848
5484,33880
5494,32103
5504,30343
5515,30055
5525,30727
5535,29479
5546,30423
5556,30423
5567,29975
5577,30791
5587,31207
5597,36921
5607,49852
5618,38281
5628,13843
5639,30375
5649,33336
5659,32615
5670,35016
5680,34024
5691,32920
5701,33880
5711,34712
5722,34712
5732,34472
5743,35336
5753,36520
5763,37593
5774,37625
5784,38953
5795,39065
5805,40777
5815,40953
5826,41434
5836,41706
5847,41962
5857,38745
5867,35624
5878,32487
5888,30791
5899,29063
5909,29143
5919,29079
5930,29079
5940,29607
5951,30151
5964,29591
5975,30151
5985,31239
5995,29783
6006,30231
6017,30263
6027,30247
6038,30263
6048,30775
6059,31063
6069,31591
6079,32727
6090,33352
6100,33624
6111,33176
6121,31319
6131,31175
6141,29591
6152,28759
6162,30855
6173,30903
6183,28582
6193,30743
6203,29975
6213,32535
6224,45291
6234,49804
6244,15939
6254,22005
6264,33400
6275,33064
6285,33208
6296,32439
6306,33512
6316,34248
6327,34568
6337,34392
6348,34696
6358,35032
6368,35736
6379,35592
6389,36776
6400,38217
6410,38921
6421,40041
6431,40713
6441,41722
6452,41114
6462,41146
6473,40745
6483,37001
6493,34360
